"seed","n","alpha","truth","alphahat","p0hat","p1hat","p2hat","p3hat"
50,100,0,"A",0.0385394246061683,0.300631556904118,0.0421735340190111,0.52587045952937,0.131310636854097
51,100,0,"A",0.0161950275206839,0.20540606649509,0.272784519665604,0.383352114830283,0.138442243993431
52,100,0,"A",0.0407763012801303,0.237147194186219,0.350019920848721,0.0366885684177807,0.376214445663583
53,100,0,"A",0.0228552919672471,0.236704049402668,0.0710601093199174,0.583688754708018,0.108521951899846
54,100,0,"A",0.0655856146462298,0.403643439529613,0.0406159572507868,0.290998833224938,0.264753828299294
55,100,0,"A",0.0221333709725278,0.246926753332331,0.0904839676577859,0.489180544994979,0.173393187981266
56,100,0,"A",0.0107620689223879,0.225118265971932,0.200553375047816,0.438755639927414,0.135572734671827
57,100,0,"A",0.0736868125457278,0.241777661556571,0.318010227284426,0.00316924558192752,0.437011154067523
58,100,0,"A",0.0212500654280142,0.104405844885842,0.517326157610871,0.141305441116464,0.236941406647805
59,100,0,"A",0.0857310475270142,0.0545966918502781,0.661584385812959,0.0046432553244868,0.279153152333058
60,100,0,"A",0.040171320252835,0.288313558348408,0.064992021972766,0.561526596170119,0.0851386096602989
61,100,0,"A",0.0167569427283564,0.2703582296404,0.140306366679783,0.41929347800917,0.170047442855724
62,100,0,"A",0.0468895214341914,0.280343103661598,0.0427907888482505,0.63068964371056,0.0460845469391225
63,100,0,"A",0.0456654657298913,0.308507333020972,0.000607487186478717,0.484451532536512,0.206476324988566
64,100,0,"A",0.00687968269563405,0.0706747701475101,0.528536613424998,0.250748503713529,0.150038092920359
65,100,0,"A",0.0163894431181472,0.207871139475003,0.260883053874995,0.249812651357425,0.28144114220458
66,100,0,"A",0.0732276800671614,0.442481397296588,0.0162940906232132,0.264876212970481,0.276382952474542
67,100,0,"A",0.0451124648739891,0.293693636506054,0.0584630803705087,0.548638447922637,0.0991164367773912
68,100,0,"A",0.0488140991056038,0.359465833322673,0.114185449931963,0.259809897718494,0.266512144334173
69,100,0,"A",0.0496029622419777,0.199596261157675,0.471542262335695,0.0310163896927391,0.297818868268224
70,100,0,"A",0.0644000204587905,0.239126432060156,0.374253342300755,0.00252048204230685,0.384251763582313
71,100,0,"A",0.0659731441959634,0.191134984398569,0.427555027407417,0.00791292814576904,0.37342112003499
72,100,0,"A",0.0458027845114777,0.351860051959134,0.211396964836739,0.171087407316433,0.265633158014868
73,100,0,"A",0.0235501089736488,0.247232072703776,0.0837299346102628,0.566437529557989,0.102590791234807
74,100,0,"A",0.0313427983130245,0.315491217782343,0.0856279602375451,0.393081167511251,0.205789384977654
75,100,0,"A",0.00974585185913494,0.170522965838545,0.139180928250361,0.660118009159733,0.0301478761454336
76,100,0,"A",0.0522052996681242,0.243768114911333,0.350324394360564,0.0363948075887123,0.369549829070676
77,100,0,"A",0.0212507665468055,0.129473939008375,0.542075023462407,0.111649527903881,0.216788677691558
78,100,0,"A",0.034071170822459,0.334051302042724,0.170950670672624,0.210675879463526,0.284324310231238
79,100,0,"A",0.0449155574344692,0.343928543234577,0.0662259935188445,0.406921525792114,0.182913119944061
80,100,0,"A",0.0375972926436718,0.315916434823056,0.0131469891175536,0.533498945937095,0.137499384847153
81,100,0,"A",0.0567242477781916,0.214672492958555,0.394771733020137,0.0126047036087472,0.378084444986679
82,100,0,"A",0.0443447477493888,0.0342625122631062,0.633028979441325,0.0540197956938493,0.278575961517672
83,100,0,"A",0.0312088009579061,0.000751121101279293,0.695549757350994,0.0757262395630898,0.227563229838551
84,100,0,"A",0.0355481371303083,0.278255774198038,0.110363171428256,0.530250503451382,0.0811061152874591
85,100,0,"A",0.0306393103666895,0.212695081261517,0.289464617531746,0.207506799610086,0.290310552109054
86,100,0,"A",0.0516499107068811,0.263944022131769,0.335792370246968,0.0644648611302908,0.335802598642273
87,100,0,"A",0.0741828356145653,0.0440340156455859,0.604280699895065,0.0201607293603346,0.331453810954021
88,100,0,"A",0.100216712400332,0.412414848784197,0.0552164543995669,0.0352010216426555,0.497082421314993
89,100,0,"A",0.053192233718068,0.18115996321929,0.490995307464407,0.0150394875002104,0.31282597536098
90,100,0,"A",0.0143495667585065,0.208852557612936,0.354504497418167,0.259528376457917,0.177112752481656
91,100,0,"A",0.0311142083066711,0.313577094047593,0.142407128218681,0.249068885811909,0.294949058781407
92,100,0,"A",0.0547642799531472,0.165696214565127,0.463887460737218,0.026824750197322,0.343593764709634
93,100,0,"A",0.0166693645827228,0.253358773278361,0.0760409339249463,0.523444836002019,0.147156958283298
94,100,0,"A",0.0468131275745458,0.314191821143832,0.0765160722453871,0.481259370141312,0.127984103341884
95,100,0,"A",0.00596530197320696,0.194650112785331,0.172591800837256,0.491044767114934,0.141711566634767
96,100,0,"A",0.0322934766294098,0.324334900508016,0.234971513138025,0.125689723472735,0.315038279524829
97,100,0,"A",0.0813611635738858,0.107732685553749,0.575264718744288,0.00136443565256826,0.315753763086542
98,100,0,"A",0.0243483316227045,0.258884410757441,0.0943982622547974,0.510417961475438,0.136287030651007
99,100,0,"A",0.0550643097837645,0.11777045269591,0.568384944004188,0.0417979688136844,0.271847652538321
100,100,0,"A",0.0163251795471522,0.229743211321386,0.175284380435191,0.375419016538344,0.219557238950151
1,200,0,"A",0.0112125561393969,0.210497486339636,0.221297120238037,0.428543217696307,0.139660509442954
2,200,0,"A",0.0207769561783959,0.139989404413045,0.47505161780602,0.159667766714014,0.225281837517876
